station_id,latitude,longitude,frequency_mhz,azimuth_deg,power_watts,zipcode,bandwidth_khz,beamwidth_deg,assigned_frequency
Cora Butte,42.91875,-110.01447222222222,12725.0,138.4,223.872113856834,82925,200.0,3.0,12750.0
Cora Butte,42.91875,-110.01447222222222,12725.0,46.3,125.89254117941675,82925,200.0,3.0,12750.0
Cora Butte,42.91875,-110.01447222222222,12725.0,138.4,223.872113856834,82925,200.0,3.0,13250.0
Mount Airy,42.84430555555556,-109.924,12950.0,289.3,251.18864315095823,82941,200.0,3.0,13250.0
Marbleton,42.553888888888885,-110.099,12725.0,46.3,251.18864315095823,83113,200.0,3.0,12750.0
Marbleton,42.553888888888885,-110.099,13000.0,200.9,251.18864315095823,83113,200.0,3.0,12750.0
Marbleton,42.553888888888885,-110.099,12725.0,46.3,177.82794100389228,83113,200.0,3.0,13250.0
FHS Martin,42.56902777777778,-114.49172222222222,13100.0,217.3,154.8816618912478,83301,200.0,3.0,13100.0
Western States Equip,42.54872222222222,-114.41938888888888,13100.0,217.3,79.43282347242817,83301,200.0,3.0,12700.0
Mid Columbia Bus,42.56463888888889,-114.55163888888887,13000.0,217.3,79.43282347242817,83301,200.0,3.0,12800.0
